ID,人物,传统,现标v1,语句
02336,斯宾诺莎,西方,B,凡遵从理性而行的人，也以全人类公共的善为目的。——《伦理学》第四部分·命题三十七〔意译〕
02337,巴门尼德,西方,B,凡人设定相反的两形：光明与黑夜、火与土，并以感觉指认为真。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
02338,老子,中国,A,知其白，守其黑，为天下式。——《道德经·第二十八章》
02339,波普尔,西方,B,我们是彻头彻尾的社会性存在，深入我们的本质。——《开放社会及其敌人》〔译〕
02340,老子,中国,B,知者不言，言者不知。——《道德经·第五十六章》
02341,嵇康,中国,A,导养神气，宣和情志。——《琴赋》序
02342,福柯,西方,B,监狱与工厂、学校、军营、医院如此相像，因为它们本是同源。——《规训与惩罚》〔译〕
02343,伊壁鸠鲁,西方,A,无论年少或年老，都不应迟疑或厌倦于寻求智慧。——〔译〕《致美诺寇的信》LM
02344,安萨里,伊斯兰波斯,B,争论若不为求真理，只为胜人，便是堕落。——《宗教学科的复兴》〔译〕
02345,笛卡尔,西方,B,物体的本性不在于重量、硬度或颜色，而在于广延。——《第一哲学沉思集》第五沉思〔意译〕
02346,周敦颐,中国,A,诚者，圣人之本。——《通书·诚上》
02347,冯友兰,中国,A,道德底行为，是出于觉解底义底行为。——《新原人·第三章》
02348,吉田兼好,日本,A,隐遁非避世，乃得自在其心。——《徒然草》〔译〕
02349,吉田兼好,日本,B,山樱、红叶，不必有名，自美于人。——《徒然草》〔译〕
02350,李贽,中国,A,李生虽落发为僧，而好察迩言。——《焚书·答兹阳》
02351,伊壁鸠鲁,西方,B,若对天地之事心怀恐惧，即使求得人防也无益处。——〔译〕《主要学说》KD 13
02352,波普尔,西方,A,理解世界，始于承认它的不可完全理解。——《无穷的探索》〔意译〕
02353,塞涅卡,西方,A,恐惧死亡的人，其实恐惧的是不曾真正活过。——《论心灵的宁静·11》〔译〕
02354,李贽,中国,A,余之爱卓吾也，以其有真气也。——《焚书》 ⚠️
02355,僧肇,中国,B,即万物之自虚，岂待宰割以求通哉？——《不真空论》
02356,张载,中国,B,知化则善述其事，穷神则善继其志。——《西铭》
02357,加缪,西方,A,不逃避荒诞，是对自己最高的敬意。——《西西弗神话》〔意译〕
02358,安萨里,伊斯兰波斯,A,忏悔（tawba）是回归，是心自远方向家转去。——《宗教学科的复兴》〔译〕
02359,安萨里,伊斯兰波斯,B,世界是通往主的一本书，盲者读之无得。——《宗教学科的复兴》〔译〕
02360,密尔,西方,A,我的贡献，在于把功利主义从粗俗中拯救出来。——《自传》〔译〕
02361,商羯罗,印度,B,凡夫逐境而生乐苦，智者知境本空，无所欣厌。——《梵经注·卷三》〔译〕
02362,洛克,西方,A,知识不过是对我们的观念之间契合或不契合的知觉。——《人类理解论》卷四·章一·节1〔意译〕
02363,商鞅,中国,B,兵起而程敌，政不若者，勿与战；食不若者，勿与久。——《商君书·战法》
02364,第欧根尼,西方,B,习俗使人以枷锁为衣，以自由为耻。——〔意译〕《名哲言行录》卷六（犬儒要义）
02365,克里希那穆提,印度,B,当一个人真正改变，世界也随之改变。——。——《人生中不可不想的事》 #self-other〔译〕
02366,董仲舒,中国,A,天之生人也，使人生义与利。利以养其体，义以养其心。——《春秋繁露·身之养重于义》
02367,笛卡尔,西方,B,上帝的观念比我更完满，它不可能来自一个不完满的「我」，只能来自一个真正完满者。——《第一哲学沉思集》第三沉思（因果论证）〔意译〕
02368,雅斯贝尔斯,西方,A,绝望是存在觉醒的前奏。——《哲学》〔意译〕
02369,王充,中国,B,孔子之言，何其鄙也！——《论衡·问孔》
02370,马可·奥勒留,西方,B,万物相互交织，一切皆由神圣的纽带相连。——《沉思录》卷四·40〔意译〕
02371,巴门尼德,西方,B,星辰之火来自太阳的牵引，月亮借太阳而明。——〔译〕《论自然》残篇 DK B14（辛普里丘转引）
02372,叔本华,西方,A,人最大的监狱，是他自己的性情。——《附录与补遗·人生的智慧》〔译〕
02373,柏拉图,西方,A,"节制，是灵魂中统治与被统治部分就""谁应作主""达成的和谐共识。——〔译〕《理想国》431e—432a"
02374,庄子,中国,B,窃钩者诛，窃国者为诸侯。——《庄子·胠箧》
02375,僧肇,中国,A,是以圣人乘真心而理顺。——《不真空论》
02376,张载,中国,B,一物两体，气也。——《正蒙·参两》
02377,第欧根尼,西方,B,世上最美好的事物，是直言（parrhesia）。——〔译〕《名哲言行录》卷六·53
02378,老子,中国,B,绝圣弃智，民利百倍；绝仁弃义，民复孝慈。——《道德经·第十九章》
02379,第欧根尼,西方,B,世人忙于积财，却无暇生活。——〔意译〕《名哲言行录》卷六（据其批判）
02380,孙子,中国,A,夫将者，国之辅也。辅周则国必强，辅隙则国必弱。——《孙子兵法·谋攻篇》
02381,道元,日本,A,只管打坐，是佛法之正传。——《正法眼藏·坐禅箴》
02382,斯宾诺莎,西方,A,自尊与谦卑都源于人将自身与更强或更弱者比较。——《伦理学》第三部分·命题五十五〔意译〕
02383,慧能,中国,B,恩则孝养父母，义则上下相怜。——《坛经·无相颂》（宗宝本） ⚠️
02384,程颢,中国,A,学者须恭敬，但不可令拘迫，拘迫则难久。——《遗书》卷二上
02385,王充,中国,A,口则务在明言，笔则务在露文。——《论衡·自纪》
02386,洛克,西方,B,政府产生于人们自愿的同意。——《政府论两篇·下篇》章八·节95〔意译〕
02387,福柯,西方,B,自由，不是给定的状态，而是一种须不断争取的实践。——《什么是批判》〔意译〕
02388,加缪,西方,B,他人之死，使我更深地感到自身之必死。——《局外人》〔意译〕
02389,赫拉克利特,西方,B,这个宇宙，对万物同一，既非神也非人所造；它过去、现在、将来永远是永远活着的火，按尺度燃起，按尺度熄灭。——〔译〕《残篇》DK B30（辛普里丘《物理学注》转引）
02390,休谟,西方,B,我们不能从「是」推出「应当」。——《人性论》卷三·部一·章一〔意译〕
02391,帕斯卡,西方,A,认识自己的可悲，已是伟大的开始。——《思想录》L114〔意译〕
02392,郭象,中国,B,故小大虽殊，逍遥一也。——《庄子注·逍遥游》
02393,休谟,西方,A,爱与恨，是自我与他者之间因苦乐而生的情感。——《人性论》卷二·章二〔意译〕
02394,程颐,中国,B,视听言动，非礼不为，即是礼；礼即是理也。——《遗书》卷十五
02395,董仲舒,中国,B,王者欲有所为，宜求其端于天。天道之大者在阴阳。——《汉书·董仲舒传》（举贤良对策）
02396,商羯罗,印度,B,若见差别，是见摩耶；若见一味，是见实相。——《梵经注·卷二》〔译〕
02397,斯宾诺莎,西方,B,思想自由与言论自由不能、也不应被任何权力剥夺。——《神学政治论》第二十章〔意译〕
02398,福柯,西方,B,我们被规训成臣服的主体，却误以为那是自由。——《规训与惩罚》〔意译〕
02399,胡塞尔,西方,A,现象学家不建构理论，他只是描述在意识中自身显现者。——《现象学的观念》第五讲〔译〕
02400,第欧根尼,西方,B,阳光雨露均施于所有人，神并不偏待人。——〔译〕《名哲言行录》卷六·59（据其言日友于人）
02401,孙子,中国,B,天者，阴阳、寒暑、时制也；地者，远近、险易、广狭、死生也。——《孙子兵法·计篇》
02402,黑格尔,西方,B,自然，是精神在他者中的沉睡。——《哲学史讲演录》〔译〕
02403,韩非,中国,A,志之难也，不在胜人，在自胜也。——《韩非子·喻老》
02404,孔子,中国,B,君子周而不比，小人比而不周。——《论语·为政》
02405,道元,日本,B,水流花开，不待人谋而自现。——《正法眼藏·現成公案》
02406,董仲舒,中国,B,天亦人之曾祖父也。——《春秋繁露·为人者天》
02407,郭象,中国,B,人之所因者，天也；天之所生者，独化也。——《庄子注·大宗师》
02408,李贽,中国,B,学者只宜于伦物上识真空，不当于伦物上辨伦物。——《焚书·答邓石阳》
02409,海德格尔,西方,A,沉沦是此在逃避自身自由的惯常方式。——《存在与时间》§38〔译〕
02410,柏拉图,西方,A,灵魂记得前世在天上所见的理念，故见地上事物便能唤起回忆。——〔译〕《斐德罗》249c—250a
02411,程颢,中国,B,父子君臣，天下之定理，无所逃于天地之间。——《遗书》卷五 ⚠️二程未分（见程颐文件同条，二先生语，此处并列存查）
02412,嵇康,中国,A,是以君子知形恃神以立，神须形以存，悟生理之易失，知一过之害生。——《养生论》
02413,程颢,中国,B,尧舜事业，如一点浮云过太虚。——《遗书》卷三
02414,释迦牟尼,印度,B,六和敬：身和同住、口和无诤、意和同悦、戒和同修、见和同解、利和同均。——《增一阿含经·卷三》
02415,帕斯卡,西方,A,真正的慰藉不在消遣，而在与上帝的和解。——《思想录》〔意译〕
02416,海德格尔,西方,A,人的尊严不在理性，而在对存在的守护。——《关于人道主义的书信》〔译〕
02417,伊壁鸠鲁,西方,A,命运很少干涉智者；他最重大的事务，皆由理性主宰。——〔译〕《主要学说》KD 16
02418,嵇康,中国,A,今但愿守陋巷，教养子孙，时与亲旧叙阔，陈说平生，浊酒一杯，弹琴一曲，志愿毕矣。——《与山巨源绝交书》
02419,冯友兰,中国,B,哲学是对于真际底理智底分析。——《新理学·绪论》
02420,罗素,西方,A,参差多态乃是幸福的本源。——《幸福之路》〔按：罗素转引桑塔耶纳，详见第五节〕
02421,荀子,中国,B,相形不如论心，论心不如择术。——《荀子·非相》
02422,德谟克利特,西方,A,教养是顺境中的装饰，逆境中的避难所。——〔译〕《残篇》DK B56（斯托拜乌斯转引）
02423,斯宾诺莎,西方,A,心灵对自身与自己的身体具有清楚分明的知识。——《伦理学》第五部分·命题九〔意译〕
02424,慧能,中国,A,若欲修行，在家亦得，不由在寺。——《坛经》（敦煌本）
02425,慧能,中国,A,不识本心，学法无益。——《坛经》（敦煌本）
02426,慧能,中国,B,法无顿渐，人有利钝。——《坛经》（敦煌本）
02427,道元,日本,A,心若不安，当观呼吸出入。——《正法眼藏·坐禅箴》
02428,雅斯贝尔斯,西方,B,在轴心时代之后，人类始终共享一个精神的「内存」。——《历史的起源与目标》〔意译〕
02429,巴门尼德,西方,B,存在者并无虚空，因为虚空便是非存在，而它不存在。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
02430,克尔凯郭尔,西方,A,真正的痛苦，是意识到自己本可以不同。——《致死的疾病》（Anti-Climacus）〔译〕
02431,海德格尔,西方,B,物聚集天、地、神、人四重整体。——《林中路·物》〔译〕
02432,鲁米,伊斯兰波斯,B,爱者终不于某处相遇，他们本在彼此之中。——《玛斯纳维·卷二》〔译〕
02433,僧肇,中国,A,圣心无知，故无所不知；不知之知，乃曰一切知。——《般若无知论》
02434,海德格尔,西方,B,物之物性，在四重整体的居留中显明。——《林中路·物》〔译〕
